match_number,home,away,stage,winner
73,RSA,CAN,R32,CAN
74,GER,PAR,R32,PAR
75,NED,MAR,R32,MAR
76,BRA,JPN,R32,BRA
77,FRA,SWE,R32,FRA
78,CIV,NOR,R32,NOR
79,MEX,ECU,R32,MEX
80,ENG,COD,R32,ENG
81,USA,BIH,R32,USA
82,BEL,SEN,R32,BEL
83,POR,CRO,R32,POR
84,ESP,AUT,R32,ESP
85,SUI,ALG,R32,SUI
86,ARG,CPV,R32,ARG
87,COL,GHA,R32,COL
88,AUS,EGY,R32,EGY
89,W74,W77,R16,FRA
90,W73,W75,R16,MAR
91,W76,W78,R16,NOR
92,W79,W80,R16,ENG
93,W83,W84,R16,ESP
94,W81,W82,R16,BEL
95,W86,W88,R16,
96,W85,W87,R16,
97,W89,W90,quarter,
98,W93,W94,quarter,
99,W91,W92,quarter,
100,W95,W96,quarter,
101,W97,W98,semi,
102,W99,W100,semi,
103,L101,L102,third,
104,W101,W102,final,
