player,team,stage
Dan,ARG,R32
Dan,ARG,R16
Dan,ARG,quarter
Dan,ARG,semi
Dan,AUS,R32
Dan,AUS,R16
Dan,AUT,R32
Dan,BEL,R32
Dan,BEL,R16
Dan,BEL,quarter
Dan,BRA,R32
Dan,CAN,R32
Dan,COL,R32
Dan,CRO,R32
Dan,CRO,R16
Dan,ECU,R32
Dan,ENG,R32
Dan,ENG,R16
Dan,ENG,quarter
Dan,ENG,semi
Dan,ENG,final
Dan,FRA,R32
Dan,FRA,R16
Dan,FRA,quarter
Dan,FRA,semi
Dan,FRA,final
Dan,FRA,winner
Dan,GER,R32
Dan,GER,R16
Dan,GHA,R32
Dan,CIV,R32
Dan,JPN,R32
Dan,JPN,R16
Dan,JPN,quarter
Dan,MEX,R32
Dan,MAR,R32
Dan,NED,R32
Dan,NED,R16
Dan,NED,quarter
Dan,NOR,R32
Dan,NOR,R16
Dan,POR,R32
Dan,POR,R16
Dan,POR,quarter
Dan,ESP,R32
Dan,ESP,R16
Dan,ESP,quarter
Dan,ESP,semi
Dan,SWE,R32
Dan,SUI,R32
Dan,SUI,R16
Dan,USA,R32
Giuseppe,ALG,R32
Giuseppe,ARG,R32
Giuseppe,ARG,R16
Giuseppe,ARG,quarter
Giuseppe,AUT,R32
Giuseppe,BEL,R32
Giuseppe,BEL,R16
Giuseppe,BIH,R32
Giuseppe,BIH,R16
Giuseppe,BRA,R32
Giuseppe,BRA,R16
Giuseppe,BRA,quarter
Giuseppe,CAN,R32
Giuseppe,COL,R32
Giuseppe,COL,R16
Giuseppe,CRO,R32
Giuseppe,ECU,R32
Giuseppe,ECU,R16
Giuseppe,EGY,R32
Giuseppe,ENG,R32
Giuseppe,ENG,R16
Giuseppe,ENG,quarter
Giuseppe,ENG,semi
Giuseppe,ENG,final
Giuseppe,FRA,R32
Giuseppe,FRA,R16
Giuseppe,FRA,quarter
Giuseppe,FRA,semi
Giuseppe,FRA,final
Giuseppe,FRA,winner
Giuseppe,GER,R32
Giuseppe,GER,R16
Giuseppe,GHA,R32
Giuseppe,CIV,R32
Giuseppe,JPN,R32
Giuseppe,MEX,R32
Giuseppe,MEX,R16
Giuseppe,MAR,R32
Giuseppe,MAR,R16
Giuseppe,MAR,quarter
Giuseppe,NED,R32
Giuseppe,NOR,R32
Giuseppe,POR,R32
Giuseppe,POR,R16
Giuseppe,POR,quarter
Giuseppe,POR,semi
Giuseppe,SEN,R32
Giuseppe,ESP,R32
Giuseppe,ESP,R16
Giuseppe,ESP,quarter
Giuseppe,ESP,semi
Giuseppe,ESP,third
Giuseppe,SWE,R32
Giuseppe,SUI,R32
Giuseppe,USA,R32
Giuseppe,USA,R16
Estevao,ARG,R32
Estevao,ARG,R16
Estevao,ARG,quarter
Estevao,AUT,R32
Estevao,BEL,R32
Estevao,BEL,R16
Estevao,BEL,quarter
Estevao,BIH,R32
Estevao,BRA,R32
Estevao,BRA,R16
Estevao,BRA,quarter
Estevao,BRA,semi
Estevao,BRA,final
Estevao,BRA,winner
Estevao,CAN,R32
Estevao,COL,R32
Estevao,CRO,R32
Estevao,CRO,R16
Estevao,ECU,R32
Estevao,EGY,R32
Estevao,EGY,R16
Estevao,ENG,R32
Estevao,ENG,R16
Estevao,ENG,quarter
Estevao,FRA,R32
Estevao,FRA,R16
Estevao,FRA,quarter
Estevao,FRA,semi
Estevao,FRA,third
Estevao,GER,R32
Estevao,GER,R16
Estevao,GHA,R32
Estevao,CIV,R32
Estevao,CIV,R16
Estevao,JPN,R32
Estevao,MEX,R32
Estevao,MEX,R16
Estevao,MAR,R32
Estevao,NED,R32
Estevao,NED,R16
Estevao,NED,quarter
Estevao,NOR,R32
Estevao,PAR,R32
Estevao,POR,R32
Estevao,POR,R16
Estevao,POR,quarter
Estevao,POR,semi
Estevao,SEN,R32
Estevao,ESP,R32
Estevao,ESP,R16
Estevao,ESP,quarter
Estevao,ESP,semi
Estevao,ESP,final
Estevao,SUI,R32
Estevao,SUI,R16
Estevao,USA,R32
Jon,ALG,R32
Jon,ARG,R32
Jon,ARG,R16
Jon,ARG,quarter
Jon,ARG,semi
Jon,AUT,R32
Jon,AUT,R16
Jon,BEL,R32
Jon,BEL,R16
Jon,BEL,quarter
Jon,BIH,R32
Jon,BRA,R32
Jon,BRA,R16
Jon,BRA,quarter
Jon,CAN,R32
Jon,COL,R32
Jon,COL,R16
Jon,CRO,R32
Jon,COD,R32
Jon,ECU,R32
Jon,EGY,R32
Jon,ENG,R32
Jon,ENG,R16
Jon,ENG,quarter
Jon,ENG,semi
Jon,ENG,final
Jon,FRA,R32
Jon,FRA,R16
Jon,FRA,quarter
Jon,FRA,semi
Jon,FRA,final
Jon,FRA,winner
Jon,GER,R32
Jon,GER,R16
Jon,CIV,R32
Jon,JPN,R32
Jon,JPN,R16
Jon,JPN,quarter
Jon,MEX,R32
Jon,MEX,R16
Jon,MAR,R32
Jon,NED,R32
Jon,NOR,R32
Jon,NOR,R16
Jon,POR,R32
Jon,POR,R16
Jon,POR,quarter
Jon,SEN,R32
Jon,ESP,R32
Jon,ESP,R16
Jon,ESP,quarter
Jon,ESP,semi
Jon,ESP,third
Jon,SUI,R32
Jon,SUI,R16
Jon,USA,R32
Jon,USA,R16
Downsy,ALG,R32
Downsy,ARG,R32
Downsy,ARG,R16
Downsy,ARG,quarter
Downsy,AUS,R32
Downsy,AUS,R16
Downsy,AUT,R32
Downsy,BEL,R32
Downsy,BEL,R16
Downsy,BRA,R32
Downsy,BRA,R16
Downsy,BRA,quarter
Downsy,BRA,semi
Downsy,BRA,final
Downsy,BRA,winner
Downsy,COL,R32
Downsy,COL,R16
Downsy,COL,quarter
Downsy,COL,semi
Downsy,CRO,R32
Downsy,ECU,R32
Downsy,ENG,R32
Downsy,ENG,R16
Downsy,ENG,quarter
Downsy,FRA,R32
Downsy,FRA,R16
Downsy,GER,R32
Downsy,GER,R16
Downsy,GER,quarter
Downsy,GER,semi
Downsy,GER,final
Downsy,GHA,R32
Downsy,CIV,R32
Downsy,JPN,R32
Downsy,MEX,R32
Downsy,MEX,R16
Downsy,MAR,R32
Downsy,NED,R32
Downsy,NED,R16
Downsy,NOR,R32
Downsy,NOR,R16
Downsy,POR,R32
Downsy,POR,R16
Downsy,ESP,R32
Downsy,ESP,R16
Downsy,ESP,quarter
Downsy,ESP,semi
Downsy,ESP,third
Downsy,SUI,R32
Downsy,SUI,R16
